,ID,Reached.on.Time_Y.N
507,4961,0.41
508,7548,0.6
509,4507,0.35
510,1190,0.96
511,9227,0.66
512,8683,0.64
513,6208,0.32
514,548,0.67
515,4747,0.29
516,10585,0.49
517,969,0.95
518,9828,0.47
519,6088,0.32
520,2539,0.97
521,5485,0.43
522,4415,0.49
523,1286,1.0
524,8636,0.49
525,4259,0.4
526,800,1.0
527,2016,1.0
528,2288,0.82
529,5183,0.46
530,7851,0.31
531,10744,0.52
532,1434,1.0
533,7620,0.48
534,5248,0.21
535,3801,0.5
536,6906,0.25
537,2612,0.97
538,3864,0.51
539,8028,0.4
540,10137,0.19
541,4982,0.59
542,1260,0.98
543,9341,0.4
544,7454,0.77
545,9624,0.17
546,7206,0.54
547,9515,0.4
548,4834,0.43
549,1101,0.97
550,5524,0.41
551,5395,0.45
552,2297,1.0
553,8906,0.61
554,10946,0.53
555,6937,0.46
556,1868,0.99
557,837,0.99
558,3710,0.48
559,9082,0.46
560,1500,0.63
561,6291,0.56
562,5679,0.45
563,6340,0.2
564,8830,0.45
565,2146,1.0
566,8225,0.25
567,10717,0.64
568,8783,0.71
569,4394,0.48
570,3102,1.0
571,10126,0.2
572,1579,0.98
573,852,0.99
574,6014,0.41
575,8147,0.46
576,7570,0.35
577,6163,0.42
578,10068,0.56
579,825,0.97
580,3143,0.31
581,6898,0.48
582,8016,0.59
583,1702,1.0
584,2551,0.98
585,6087,0.4
586,6241,0.54
587,87,1.0
588,2102,0.93
589,1262,0.9
590,7065,0.25
591,624,0.99
592,1077,0.83
593,4241,0.59
594,8681,0.31
595,6636,0.32
596,10918,0.47
597,6696,0.59
598,3978,0.4
599,3684,0.39
600,7014,0.42
601,7409,0.44
602,6113,0.42
603,6063,0.26
604,9638,0.61
605,1953,1.0
606,4442,0.31
607,8202,0.39
608,10302,0.49
609,7285,0.28
610,6988,0.38
611,5351,0.48
612,9250,0.4
613,1064,1.0
614,5245,0.33
615,2071,0.92
616,7866,0.52
617,4993,0.2
618,7773,0.27
619,10163,0.51
620,505,0.99
621,7250,0.52
622,2874,1.0
623,1399,0.92
624,8000,0.7
625,4622,0.3
626,958,0.98
627,9109,0.34
628,1119,0.99
629,413,0.99
630,10073,0.36
631,5303,0.38
632,3730,0.41
633,4783,0.46
634,2381,0.97
635,7137,0.34
636,3865,0.36
637,5830,0.39
638,7717,0.47
639,7926,0.34
640,7528,0.25
641,8322,0.52
642,2701,0.97
643,5185,0.42
644,347,1.0
645,5683,0.67
646,10250,0.37
647,7638,0.22
648,8249,0.5
649,5809,0.47
650,230,0.98
651,7089,0.25
652,7182,0.58
653,2375,1.0
654,10524,0.39
655,2552,0.97
656,6094,0.5
657,1764,0.96
658,10445,0.63
659,674,0.99
660,10944,0.49
661,7772,0.52
662,8797,0.39
663,3477,0.34
664,6496,0.39
665,6707,0.36
666,5619,0.39
667,9623,0.54
668,9523,0.4
669,9684,0.37
670,5861,0.41
671,4350,0.59
672,5844,0.52
673,8695,0.5
674,1083,0.65
675,7558,0.64
676,9260,0.34
677,6957,0.48
678,565,0.97
679,6299,0.63
680,3919,0.39
681,9451,0.44
682,4336,0.32
683,3401,0.37
684,6531,0.46
685,459,0.99
686,321,0.99
687,10364,0.41
688,3976,0.4
689,528,0.99
690,1010,0.75
691,9401,0.47
692,2014,0.97
693,8089,0.44
694,5173,0.58
695,10706,0.5
696,6610,0.58
697,1467,1.0
698,5292,0.4
699,280,0.99
700,4367,0.43
701,7080,0.43
702,3705,0.43
703,7354,0.43
704,3768,0.45
705,1673,0.99
706,10897,0.26
707,1165,0.64
708,8113,0.46
709,6992,0.26
710,7910,0.17
711,10645,0.39
712,8649,0.47
713,2521,0.96
714,5448,0.29
715,4278,0.38
716,2063,0.99
717,9023,0.31
718,8327,0.27
719,1668,0.95
720,3198,0.59
721,5102,0.42
722,9300,0.5
723,2749,0.75
724,8274,0.56
725,10700,0.44
726,6268,0.5
727,9124,0.4
728,2190,0.99
729,9971,0.47
730,10861,0.57
731,546,1.0
732,4137,0.48
733,10558,0.45
734,3364,0.54
735,5025,0.49
736,4742,0.38
737,6434,0.36
738,7714,0.53
739,3348,0.6
740,8360,0.69
741,3882,0.2
742,9224,0.49
743,8809,0.25
744,3546,0.65
745,1562,1.0
746,5314,0.76
747,2738,1.0
748,6628,0.41
749,9457,0.45
750,5325,0.38
751,6048,0.31
752,9964,0.28
753,5566,0.61
754,4167,0.37
755,6263,0.63
756,10093,0.34
757,10266,0.36
758,7846,0.53
759,10147,0.37
760,10356,0.31
761,10245,0.69
762,7053,0.36
763,1922,0.75
764,643,1.0
765,2408,0.99
766,6304,0.46
767,1134,1.0
768,6357,0.5
769,1249,1.0
770,3844,0.41
771,10023,0.26
772,9287,0.39
773,3508,0.21
774,1775,1.0
775,10661,0.39
776,9262,0.72
777,4496,0.57
778,10521,0.55
779,7576,0.35
780,2338,0.99
781,4558,0.61
782,2169,0.93
783,6879,0.36
784,2561,0.84
785,1747,1.0
786,3517,0.35
787,8568,0.46
788,9241,0.38
789,3744,0.24
790,6543,0.59
791,1091,1.0
792,4446,0.61
793,7727,0.52
794,9429,0.35
795,10520,0.43
796,8956,0.37
797,5066,0.4
798,9106,0.5
799,6067,0.6
800,8407,0.4
801,5371,0.51
802,10795,0.35
803,1100,0.98
804,5036,0.86
805,5479,0.54
806,7996,0.47
807,3664,0.55
808,478,0.93
809,5718,0.38
810,6213,0.26
811,1098,1.0
812,6221,0.5
813,5447,0.3
814,562,0.89
815,5805,0.56
816,1439,0.98
817,8102,0.29
818,7791,0.41
819,8076,0.39
820,1778,0.98
821,1102,0.89
822,89,1.0
823,43,1.0
824,2654,1.0
825,5048,0.4
826,10070,0.4
827,3203,0.33
828,2257,0.97
829,4586,0.62
830,8393,0.66
831,5807,0.37
832,9752,0.37
833,239,0.99
834,5821,0.55
835,8637,0.61
836,5372,0.5
837,6684,0.31
838,1857,0.95
839,3170,0.73
840,8088,0.19
841,1007,1.0
842,10324,0.63
843,4000,0.24
844,672,1.0
845,9288,0.37
846,3988,0.5
847,9581,0.55
848,1043,0.99
849,9799,0.42
850,173,1.0
851,4339,0.43
852,6799,0.57
853,1568,1.0
854,9235,0.53
855,2178,0.99
856,6778,0.42
857,383,1.0
858,6649,0.38
859,6471,0.67
860,1442,1.0
861,2460,1.0
862,10145,0.3
863,5540,0.58
864,3726,0.47
865,406,1.0
866,8231,0.64
867,7984,0.4
868,1115,0.99
869,5246,0.49
870,10566,0.39
871,3900,0.39
872,8383,0.42
873,7132,0.53
874,333,1.0
875,7473,0.65
876,4945,0.48
877,10714,0.47
878,10759,0.75
879,7474,0.44
880,1290,0.92
881,8845,0.71
882,6137,0.37
883,1749,0.95
884,7888,0.51
885,10448,0.57
886,3531,0.5
887,903,1.0
888,6211,0.3
889,10613,0.76
890,5713,0.38
891,8262,0.41
892,3069,1.0
893,2787,0.99
894,8539,0.74
895,4735,0.35
896,1141,0.83
897,7219,0.4
898,7148,0.61
899,4843,0.59
900,931,0.85
901,10627,0.49
902,3187,0.37
903,9561,0.45
904,4103,0.54
905,5202,0.65
906,3925,0.38
907,7994,0.46
908,10703,0.53
909,5541,0.32
910,3524,0.51
911,4468,0.24
912,158,1.0
913,10517,0.45
914,10634,0.37
915,7533,0.35
916,2499,0.98
917,8270,0.41
918,10176,0.32
919,6104,0.57
920,3896,0.44
921,2019,0.79
922,10636,0.71
923,10254,0.44
924,7033,0.45
925,6755,0.54
926,8362,0.33
927,1229,0.94
928,551,0.98
929,3516,0.31
930,10337,0.56
931,6456,0.48
932,8430,0.41
933,8733,0.36
934,8570,0.19
935,7253,0.49
936,3189,0.49
937,3805,0.25
938,2695,0.97
939,9145,0.6
940,3084,1.0
941,8159,0.42
942,3850,0.53
943,1017,1.0
944,2240,1.0
945,1714,1.0
946,8640,0.38
947,5646,0.47
948,177,1.0
949,7470,0.39
950,6385,0.53
951,3591,0.46
952,5027,0.57
953,8561,0.72
954,4370,0.64
955,7937,0.51
956,1509,1.0
957,4458,0.5
958,3574,0.22
959,6780,0.45
960,3700,0.43
961,951,0.57
962,10425,0.64
963,6823,0.67
964,6069,0.29
965,7032,0.45
966,695,1.0
967,10586,0.55
968,7660,0.47
969,432,0.97
970,9479,0.52
971,5338,0.55
972,2428,1.0
973,5936,0.46
974,3961,0.48
975,5280,0.55
976,4266,0.42
977,4151,0.46
978,97,0.99
979,8461,0.48
980,6629,0.17
981,10502,0.34
982,2788,0.92
983,10746,0.49
984,8433,0.28
985,1980,1.0
986,4211,0.66
987,6884,0.59
988,7898,0.28
989,7815,0.4
990,3468,0.31
991,10374,0.31
992,3973,0.35
993,8436,0.52
994,10101,0.35
995,5609,0.51
996,389,0.97
997,8607,0.42
998,2491,0.99
999,3443,0.34
1000,7859,0.68
1001,10815,0.17
1002,6736,0.4
1003,6530,0.52
1004,9999,0.49
1005,378,1.0
1006,7251,0.38
1007,2876,0.97
1008,468,0.58
1009,1632,0.96
1010,1890,0.99
1011,10022,0.47
1012,4627,0.7
1013,3083,1.0
1014,8787,0.38
1015,8048,0.43
1016,7543,0.48
1017,2722,0.98
1018,8901,0.48
1019,6235,0.5
1020,1662,0.87
1021,10984,0.57
1022,240,0.84
1023,8545,0.39
1024,1330,1.0
1025,6673,0.48
1026,2850,0.98
1027,3379,0.3
1028,10814,0.55
1029,9734,0.55
1030,7010,0.69
1031,8027,0.64
1032,594,1.0
1033,9299,0.39
1034,2872,0.97
1035,7841,0.36
1036,9164,0.34
1037,4478,0.38
1038,3606,0.72
1039,9100,0.88
1040,5495,0.52
1041,9371,0.54
1042,10995,0.49
1043,1699,1.0
1044,446,1.0
1045,5209,0.52
1046,5811,0.43
1047,6875,0.64
1048,10577,0.4
1049,5302,0.71
1050,9282,0.34
1051,1820,1.0
1052,3016,0.73
1053,4205,0.51
1054,8204,0.56
1055,243,1.0
1056,7858,0.4
1057,3789,0.22
1058,190,1.0
1059,10097,0.47
1060,2376,0.99
1061,10830,0.44
1062,666,1.0
1063,1564,1.0
1064,8409,0.51
1065,7951,0.37
1066,3830,0.61
1067,7103,0.4
1068,4908,0.49
1069,4584,0.5
1070,6468,0.11
1071,7238,0.42
1072,10079,0.64
1073,4462,0.63
1074,9026,0.45
1075,10407,0.45
1076,9780,0.32
1077,5681,0.48
1078,926,1.0
1079,2259,0.99
1080,6021,0.6
1081,10280,0.33
1082,5094,0.35
1083,7991,0.37
1084,5422,0.53
1085,6855,0.39
1086,5231,0.48
1087,6144,0.42
1088,5639,0.23
1089,3696,0.55
1090,9383,0.38
1091,9203,0.51
1092,7666,0.54
1093,6171,0.52
1094,400,0.98
1095,8079,0.44
1096,3350,0.28
1097,154,1.0
1098,9339,0.34
1099,2653,1.0
1100,927,0.98
1101,9422,0.83
1102,3471,0.33
1103,10499,0.62
1104,7736,0.53
1105,1698,1.0
1106,9323,0.48
1107,10440,0.54
1108,922,0.98
1109,2780,0.99
1110,2111,1.0
1111,6461,0.42
1112,1163,0.99
1113,3340,0.34
1114,2829,0.98
1115,10879,0.43
1116,4538,0.26
1117,5596,0.39
1118,2621,0.98
1119,2223,1.0
1120,5614,0.36
1121,1316,0.96
1122,5663,0.37
1123,3776,0.58
1124,6315,0.39
1125,5497,0.48
1126,1376,0.99
1127,2883,0.96
1128,4260,0.38
1129,1772,0.86
1130,10860,0.31
1131,1858,0.82
1132,1834,0.93
1133,5323,0.28
1134,1380,0.97
1135,10775,0.54
1136,2956,0.99
1137,99,0.73
1138,6162,0.37
1139,2528,0.86
1140,8776,0.62
1141,5181,0.18
1142,8924,0.2
1143,6598,0.84
1144,8785,0.77
1145,10149,0.44
1146,10488,0.34
1147,10075,0.41
1148,3639,0.46
1149,7265,0.4
1150,6112,0.45
1151,6023,0.5
1152,6761,0.26
1153,6216,0.27
1154,7282,0.47
1155,7782,0.51
1156,3829,0.92
1157,4376,0.32
1158,8258,0.68
1159,9557,0.33
1160,5201,0.6
1161,2256,1.0
1162,793,0.98
1163,9152,0.52
1164,8263,0.55
1165,7560,0.55
1166,1222,0.98
1167,6458,0.45
1168,9431,0.42
1169,4963,0.5
1170,9166,0.55
1171,4575,0.66
1172,6352,0.48
1173,8485,0.51
1174,2957,0.99
1175,9149,0.71
1176,9536,0.4
1177,10255,0.45
1178,2863,0.98
1179,8207,0.32
1180,1682,0.99
1181,5662,0.61
1182,3105,0.98
1183,8464,0.37
1184,786,1.0
1185,10444,0.62
1186,2888,0.99
1187,9118,0.31
1188,7489,0.41
1189,3637,0.62
1190,5029,0.76
1191,5554,0.44
1192,7159,0.34
1193,9521,0.42
1194,5337,0.49
1195,4603,0.49
1196,935,0.91
1197,7001,0.46
1198,5729,0.51
1199,7208,0.4
1200,5341,0.44
1201,6091,0.25
1202,7995,0.66
1203,10410,0.48
1204,7719,0.82
1205,3156,0.32
1206,3526,0.57
1207,8199,0.57
1208,1905,0.85
1209,6767,0.54
1210,10080,0.51
1211,1755,0.71
1212,6734,0.47
1213,1765,0.99
1214,7507,0.32
1215,784,0.97
1216,581,0.98
1217,5847,0.44
1218,1365,1.0
1219,9298,0.32
1220,8463,0.21
1221,5597,0.56
1222,3871,0.57
1223,8378,0.56
1224,2603,0.99
1225,6301,0.36
1226,6759,0.35
1227,5469,0.54
1228,8504,0.45
1229,9085,0.27
1230,7264,0.45
1231,751,1.0
1232,5558,0.33
1233,4668,0.36
1234,3822,0.54
1235,4483,0.7
1236,3505,0.34
1237,9880,0.55
1238,3901,0.33
1239,5983,0.47
1240,8927,0.36
1241,8958,0.39
1242,1225,0.91
1243,3802,0.41
1244,9074,0.38
1245,5481,0.49
1246,3681,0.33
1247,9921,0.21
1248,3139,0.36
1249,2013,0.99
1250,2720,0.99
1251,16,0.99
1252,4842,0.3
1253,5137,0.43
1254,4179,0.4
1255,6207,0.35
1256,2951,0.59
1257,7347,0.3
1258,8577,0.39
1259,4942,0.42
1260,5743,0.33
1261,9940,0.48
1262,10040,0.47
1263,652,0.99
1264,1248,1.0
1265,713,1.0
1266,6396,0.46
1267,10828,0.47
1268,1811,1.0
1269,6073,0.39
1270,1078,1.0
1271,7414,0.46
1272,6180,0.33
1273,9613,0.56
1274,1016,1.0
1275,8311,0.36
1276,3878,0.64
1277,303,1.0
1278,747,1.0
1279,3910,0.42
1280,2292,1.0
1281,3924,0.43
1282,3819,0.63
1283,4091,0.6
1284,1431,0.63
1285,8421,0.31
1286,3513,0.32
1287,6215,0.57
1288,7177,0.52
1289,6116,0.4
1290,9256,0.41
1291,9604,0.53
1292,7262,0.59
1293,10339,0.51
1294,7696,0.68
1295,1722,0.98
1296,7445,0.59
1297,4571,0.22
1298,8622,0.29
1299,5387,0.54
1300,3977,0.4
1301,9101,0.43
1302,4637,0.35
1303,9104,0.44
1304,4145,0.56
1305,2505,0.97
1306,4775,0.38
1307,9099,0.5
1308,6587,0.46
1309,10367,0.42
1310,6843,0.41
1311,6739,0.41
1312,4901,0.54
1313,3868,0.69
1314,4636,0.41
1315,9063,0.35
1316,8972,0.54
1317,7627,0.36
1318,9783,0.54
1319,5576,0.21
1320,6105,0.48
1321,10285,0.49
1322,2752,0.97
1323,2989,0.72
1324,9527,0.47
1325,5402,0.51
1326,2180,0.68
1327,8269,0.62
1328,8693,0.58
1329,10449,0.27
1330,10433,0.4
1331,3662,0.41
1332,31,0.97
1333,1614,0.98
1334,2094,0.86
1335,3392,0.59
1336,8867,0.55
1337,9135,0.4
1338,2841,1.0
1339,5852,0.51
1340,5018,0.5
1341,370,0.99
1342,8754,0.54
1343,5970,0.41
1344,7738,0.67
1345,3818,0.51
1346,5125,0.37
1347,4026,0.58
1348,3578,0.43
1349,2134,1.0
1350,2522,0.97
1351,3245,0.58
1352,2090,1.0
1353,6379,0.4
1354,5376,0.62
1355,3465,0.37
1356,2002,0.99
1357,8965,0.63
1358,9212,0.28
1359,9833,0.32
1360,10722,0.45
1361,7742,0.5
1362,4364,0.46
1363,9467,0.39
1364,3432,0.44
1365,7220,0.6
1366,2515,0.89
1367,6625,0.54
1368,8390,0.26
1369,2172,0.78
1370,2636,1.0
1371,731,1.0
1372,7513,0.33
1373,9717,0.25
1374,6856,0.4
1375,4427,0.5
1376,9701,0.51
1377,8059,0.5
1378,8882,0.55
1379,480,0.98
1380,3938,0.53
1381,3772,0.46
1382,6885,0.76
1383,3608,0.61
1384,2870,1.0
1385,7306,0.56
1386,2673,1.0
1387,8255,0.35
1388,4514,0.49
1389,386,0.98
1390,4438,0.37
1391,9841,0.34
1392,6160,0.64
1393,3940,0.51
1394,6757,0.61
1395,4109,0.48
1396,9935,0.37
1397,4466,0.44
1398,906,0.99
1399,6174,0.42
1400,6716,0.32
1401,939,0.86
1402,9070,0.57
1403,10414,0.39
1404,10317,0.55
1405,2643,1.0
1406,3263,0.36
1407,6131,0.42
1408,4274,0.32
1409,3116,0.99
1410,6919,0.39
1411,9980,0.4
1412,5859,0.44
1413,728,1.0
1414,9759,0.4
1415,6900,0.72
1416,82,0.96
1417,8308,0.39
1418,7983,0.47
1419,9331,0.49
1420,8701,0.47
1421,7361,0.48
1422,8279,0.35
1423,8708,0.55
1424,5004,0.5
1425,3954,0.48
1426,2456,1.0
1427,8168,0.33
1428,1398,0.95
1429,1851,1.0
1430,4431,0.5
1431,3104,1.0
1432,9218,0.43
1433,4818,0.81
1434,9608,0.43
1435,5107,0.43
1436,3596,0.27
1437,10260,0.45
1438,834,0.97
1439,402,0.93
1440,8779,0.6
1441,9189,0.27
1442,9255,0.6
1443,8813,0.53
1444,392,1.0
1445,10525,0.46
1446,10199,0.72
1447,2557,1.0
1448,1181,0.85
1449,1670,0.99
1450,10426,0.54
1451,9813,0.45
1452,5584,0.33
1453,325,0.93
1454,10602,0.4
1455,10172,0.53
1456,8056,0.23
1457,10055,0.33
1458,9791,0.27
1459,3403,0.52
1460,8702,0.53
1461,64,1.0
1462,6617,0.35
1463,7804,0.4
1464,6140,0.38
1465,1965,0.91
1466,10115,0.37
1467,3059,0.99
1468,4297,0.71
1469,9737,0.35
1470,1429,0.93
1471,6866,0.59
1472,4429,0.37
1473,9352,0.64
1474,7141,0.49
1475,4701,0.37
1476,3709,0.42
1477,1308,0.99
1478,4015,0.25
1479,10581,0.45
1480,10474,0.73
1481,5207,0.51
1482,3559,0.51
1483,5722,0.4
1484,3649,0.39
1485,8184,0.53
1486,1526,0.99
1487,6406,0.71
1488,7020,0.44
1489,1697,1.0
1490,2303,0.93
1491,9130,0.5
1492,9611,0.62
1493,5966,0.51
1494,2979,0.98
1495,6623,0.48
1496,2413,0.85
1497,5317,0.36
1498,47,0.99
1499,723,0.83
1500,1068,1.0
1501,4021,0.55
1502,3540,0.49
1503,4333,0.34
1504,3141,0.5
1505,1985,1.0
1506,8955,0.52
1507,8382,0.56
1508,7178,0.41
